poll_id,pollster,date_published,date_start,date_end,n,method,befragte_raw,zeitraum_raw,cdu_csu,spd,gruene,fdp,afd,linke,bsw,sonstige,raw_vote_share_sum,rejection_reason
cc60e667ade2e0dbac07ef90038e46eb4080b882c913ac5af581b73cff5a9d75,Allensbach,1998-12-16,NA,NA,NA,unknown,NA,NA,36.3,39.4,7.2,6,0,0,NA,0,88.89999999999999,"V1: vote_share_sum=88.9 outside [95,105]"
5766ca65d6db8c7e97b0c266852ae71ea5324deca3e0791fce9a46b23c100d38,Allensbach,2007-06-13,2007-06-24,2007-06-06,NA,unknown,NA,24.06.–06.06.,35,29.2,10.3,10.5,0,10.3,NA,4.7,100,V3: date validity check failed
71552081d503f1ac591f1bcb240955a7d6ad0df2bd55dcda51631e61b713cc00,Allensbach,2013-10-23,2013-10-01,2013-10-16,0,unknown,?,01.10.–16.10.,41,25,9,5,5.5,9,NA,5.5,100,"V2: n=0 outside [500,50000]"
a9375aa1ec78c16c231d3060648bba30f4bad775d26c4d97d202420cb7f5db5f,Allensbach,2013-11-27,2013-11-08,2013-11-21,0,unknown,?,08.11.–21.11.,40,26.5,10,4,5,9.5,NA,5,100,"V2: n=0 outside [500,50000]"
9a90d154c444fc39915a928dfdaf631f674211b2f3aa6d32c95a88a82a9ed5f7,Allensbach,2013-12-19,2013-12-01,2013-12-12,0,unknown,?,01.12.–12.12.,41.5,25.5,10.5,4,4.5,9,NA,5,100,"V2: n=0 outside [500,50000]"
6e85b06ea0b7ff2289f406188b61f17f01808e65829ebf72e0e7848cb8166e62,Allensbach,2014-01-29,2014-01-10,2014-01-23,0,unknown,?,10.01.–23.01.,40,26,10,5,5,8.5,NA,5.5,100,"V2: n=0 outside [500,50000]"
4057224a7dc83b2f771726d549c6b0e2abfd7a7af55f3f07f6768cdcb159cc8d,Allensbach,2014-02-20,2014-02-01,2014-02-13,0,unknown,?,01.02.–13.02.,40,26.5,10.5,4,5,9,NA,5,100,"V2: n=0 outside [500,50000]"
15f78290b042446ab66babedddb7b1b3b46bc19fa395ee1c306e2cb92f3242be,Allensbach,2014-03-19,2014-03-01,2014-03-13,0,unknown,?,01.03.–13.03.,40.5,25,10,5,5,9,NA,5.5,100,"V2: n=0 outside [500,50000]"
d9c68a77347500473a011bc2d0b90d9da7bb0ef341ec51bb2af96014a02d2356,Allensbach,2014-05-14,2014-04-25,2014-05-09,0,unknown,?,25.04.–09.05.,39.5,26,10.5,5,5.5,8,NA,5.5,100,"V2: n=0 outside [500,50000]"
afc87a85d7a0fa62cb98fb05af6fee1a7dce6c5b8b34e83032dac617f089eab7,Allensbach,2014-06-20,2014-05-28,2014-06-13,0,unknown,?,28.05.–13.06.,40,26,10,4,6,8,NA,6,100,"V2: n=0 outside [500,50000]"
bd4220aa47d229263f2e3db03c7cc8e58a7f04b600e25e024442a0edc3f85f79,Allensbach,2014-07-16,2014-06-28,2014-07-11,0,unknown,?,28.06.–11.07.,40.5,25,11,3.5,6,8.5,NA,5.5,100,"V2: n=0 outside [500,50000]"
