election_year,election_date,party,vote_share
1980,1980-10-05,CDU/CSU,0.44539042838288145
1980,1980-10-05,SPD,0.4286007839799387
1980,1980-10-05,GRÜNE,0.015013292001701364
1980,1980-10-05,FDP,0.1062495326376847
1980,1980-10-05,LINKE,0
1980,1980-10-05,AfD,0
1980,1980-10-05,Sonstige,0.00474596299779384
1983,1983-03-06,CDU/CSU,0.48788417626016717
1983,1983-03-06,SPD,0.3817551292816175
1983,1983-03-06,GRÜNE,0.055659803844754975
1983,1983-03-06,FDP,0.06951449007563734
1983,1983-03-06,LINKE,0
1983,1983-03-06,AfD,0
1983,1983-03-06,Sonstige,0.005186400537823044
1987,1987-01-25,CDU/CSU,0.4426395224863952
1987,1987-01-25,SPD,0.37040493941490815
1987,1987-01-25,GRÜNE,0.08255823445013363
1987,1987-01-25,FDP,0.09085557390529812
1987,1987-01-25,LINKE,0
1987,1987-01-25,AfD,0
1987,1987-01-25,Sonstige,0.013541729743264952
1990,1990-12-02,CDU/CSU,0.4382253296748572
1990,1990-12-02,SPD,0.33462722350195795
1990,1990-12-02,GRÜNE,0.050529931996394335
1990,1990-12-02,FDP,0.11028194731108978
1990,1990-12-02,LINKE,0.024315127084746327
1990,1990-12-02,AfD,0
1990,1990-12-02,Sonstige,0.04202044043095443
1994,1994-10-16,CDU/CSU,0.4143314702542018
1994,1994-10-16,SPD,0.36387412558968574
1994,1994-10-16,GRÜNE,0.0726950928999859
1994,1994-10-16,FDP,0.06917301695987792
1994,1994-10-16,LINKE,0.04386303721115647
1994,1994-10-16,AfD,0
1994,1994-10-16,Sonstige,0.03606325708509217
1998,1998-09-27,CDU/CSU,0.351448204318151
1998,1998-09-27,SPD,0.4092857030445372
1998,1998-09-27,GRÜNE,0.06695849998474908
1998,1998-09-27,FDP,0.062483228047928115
1998,1998-09-27,LINKE,0.05101459966993123
1998,1998-09-27,AfD,0
1998,1998-09-27,Sonstige,0.058809764934703246
2002,2002-09-22,CDU/CSU,0.38508326027241996
2002,2002-09-22,SPD,0.38520883198101197
2002,2002-09-22,GRÜNE,0.08563867600290688
2002,2002-09-22,FDP,0.07373071941942409
2002,2002-09-22,LINKE,0.03993422017614625
2002,2002-09-22,AfD,0
2002,2002-09-22,Sonstige,0.030404292148090817
2005,2005-09-18,CDU/CSU,0.35169711597795195
2005,2005-09-18,SPD,0.342468895060623
2005,2005-09-18,GRÜNE,0.08116915441612783
2005,2005-09-18,FDP,0.09829439137905381
2005,2005-09-18,LINKE,0.08708752844379845
2005,2005-09-18,AfD,0
2005,2005-09-18,Sonstige,0.03928291472244494
2009,2009-09-27,CDU/CSU,0.3379781601565463
2009,2009-09-27,SPD,0.2303484870947742
2009,2009-09-27,GRÜNE,0.10705890246497733
2009,2009-09-27,FDP,0.14562846903670384
2009,2009-09-27,LINKE,0.11887921452005352
2009,2009-09-27,AfD,0
2009,2009-09-27,Sonstige,0.060106766726944705
2013,2013-09-22,CDU/CSU,0.41542995910796787
2013,2013-09-22,SPD,0.257329614550838
2013,2013-09-22,GRÜNE,0.08448027912182847
2013,2013-09-22,FDP,0.047648817925532994
2013,2013-09-22,LINKE,0.08588998486422166
2013,2013-09-22,AfD,0.04704168532034409
2013,2013-09-22,Sonstige,0.06217965910926693
2017,2017-09-24,CDU/CSU,0.32929553878522877
2017,2017-09-24,SPD,0.20507965389251392
2017,2017-09-24,GRÜNE,0.08939817297858528
2017,2017-09-24,FDP,0.1074792243410002
2017,2017-09-24,LINKE,0.09238362995279079
2017,2017-09-24,AfD,0.1263689740183765
2017,2017-09-24,Sonstige,0.049994806031504524
2021,2021-09-26,CDU/CSU,0.24069360630565123
2021,2021-09-26,SPD,0.2574270720291405
2021,2021-09-26,GRÜNE,0.14754322825256772
2021,2021-09-26,FDP,0.11455039329359103
2021,2021-09-26,LINKE,0.04889765460905956
2021,2021-09-26,AfD,0.10343868956785109
2021,2021-09-26,Sonstige,0.08744935594213887
