election_year,election_date,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige
1980,1980-10-05,0.44539042838288145,0.4286007839799387,0.015013292001701364,0.1062495326376847,0,0,0.00474596299779384
1983,1983-03-06,0.48788417626016717,0.3817551292816175,0.055659803844754975,0.06951449007563734,0,0,0.005186400537823044
1987,1987-01-25,0.4426395224863952,0.37040493941490815,0.08255823445013363,0.09085557390529812,0,0,0.013541729743264952
1990,1990-12-02,0.4382253296748572,0.33462722350195795,0.050529931996394335,0.11028194731108978,0.024315127084746327,0,0.04202044043095443
1994,1994-10-16,0.4143314702542018,0.36387412558968574,0.0726950928999859,0.06917301695987792,0.04386303721115647,0,0.03606325708509217
1998,1998-09-27,0.351448204318151,0.4092857030445372,0.06695849998474908,0.062483228047928115,0.05101459966993123,0,0.058809764934703246
2002,2002-09-22,0.38508326027241996,0.38520883198101197,0.08563867600290688,0.07373071941942409,0.03993422017614625,0,0.030404292148090817
2005,2005-09-18,0.35169711597795195,0.342468895060623,0.08116915441612783,0.09829439137905381,0.08708752844379845,0,0.03928291472244494
2009,2009-09-27,0.3379781601565463,0.2303484870947742,0.10705890246497733,0.14562846903670384,0.11887921452005352,0,0.060106766726944705
2013,2013-09-22,0.41542995910796787,0.257329614550838,0.08448027912182847,0.047648817925532994,0.08588998486422166,0.04704168532034409,0.06217965910926693
2017,2017-09-24,0.32929553878522877,0.20507965389251392,0.08939817297858528,0.1074792243410002,0.09238362995279079,0.1263689740183765,0.049994806031504524
2021,2021-09-26,0.24069360630565123,0.2574270720291405,0.14754322825256772,0.11455039329359103,0.04889765460905956,0.10343868956785109,0.08744935594213887
