uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
7bb5a961-6d25-4f4d-9b7e-386e363599c7,2002-09-20,,,,,,,CDU/CSU,37.0
4b36ff42-7c55-4b5b-a2b0-2d846dae334a,2002-09-17,≈2.000,06.09.–15.09.,,,2002-09-06,2002-09-15,CDU/CSU,37.3
a0c3b579-72df-4461-a4da-12ddd2d3f826,2002-09-11,≈2.000,30.08.–08.09.,,,2002-08-30,2002-09-08,CDU/CSU,37.0
67317a3d-f6a7-4d68-8784-3d0a3c2a7613,2002-09-08,,,,,,,CDU/CSU,38.2
505b5822-8ced-4046-b934-cea42aa05cdc,2002-09-04,,23.08.–01.09.,,,2002-08-23,2002-09-01,CDU/CSU,39.1
f4298024-ac6e-43c4-9844-263418accb00,2002-08-28,,15.08.–25.08.,,,2002-08-15,2002-08-25,CDU/CSU,40.1
fe8cf88a-4d5e-44bb-935d-ac82f8b306ab,2002-08-25,,09.08.–20.08.,,,2002-08-09,2002-08-20,CDU/CSU,39.8
34fd6dd3-87f3-4eee-9f89-95703ee12664,2002-08-21,,02.08.–13.08.,,,2002-08-02,2002-08-13,CDU/CSU,39.7
548292bf-ec1e-443a-94de-8a95ebb47fc3,2002-08-14,,bis 06.08.,,,,2002-08-06,CDU/CSU,39.7
75a994a1-0db8-42e5-a1fd-6df217b516fa,2002-08-02,,bis 25.07.,,,,2002-07-25,CDU/CSU,38.8
17ad4fe5-e57a-4a8d-be0c-5421c18e3111,2002-07-03,≈1.000,13.06.–25.06.,,,2002-06-13,2002-06-25,CDU/CSU,38.3
ba22c4f8-14cf-4289-bc78-5f20f2a2bc49,2002-06-12,,25.05.–04.06.,,,2002-05-25,2002-06-04,CDU/CSU,39.0
53e1932f-ef1a-43c9-9a69-00056bed5fd6,2002-05-15,,24.04.–06.05.,,,2002-04-24,2002-05-06,CDU/CSU,38.2
7287c111-3d8e-4f1d-b6e8-d47eb9d39d49,2002-04-17,,26.03.–09.04.,,,2002-03-26,2002-04-09,CDU/CSU,37.0
61a28442-2e35-4142-99ef-aef19aead1e0,2002-03-20,,,,,,,CDU/CSU,37.3
edb15583-ef63-470a-85bf-eb953a057339,2002-02-20,,01.02.–12.02.,,,2002-02-01,2002-02-12,CDU/CSU,36.1
1221b99d-149c-44b6-9386-4bea74cac8d8,2002-01-30,,05.01.–15.01.,,,2002-01-05,2002-01-15,CDU/CSU,35.8
8d7cd6d9-e046-4f11-b342-581f9a885d6b,2001-12-19,,01.12.–10.12.,,,2001-12-01,2001-12-10,CDU/CSU,35.1
f3142412-f434-48e6-bcd1-994c033d1f6e,2001-11-14,,27.09.–08.10.,,,2001-09-27,2001-10-08,CDU/CSU,34.5
bbdd9dba-cdbc-4b21-8c66-3dbce8deff2c,2001-10-17,,23.08.–03.09.,,,2001-08-23,2001-09-03,CDU/CSU,35.7
248617c9-5321-4d48-a4f4-6b560d172a90,2001-09-19,,26.06.–09.07.,,,2001-06-26,2001-07-09,CDU/CSU,35.7
7efb725a-690b-476b-8c91-bfb4ec330b46,2001-08-14,,,,,,,CDU/CSU,34.0
d7519476-43f8-4fd6-bede-26d59145899d,2001-07-25,,,,,,,CDU/CSU,33.0
fa5b24ac-f25d-4c97-a384-66e677ef8892,2001-06-20,,,,,,,CDU/CSU,33.4
fac37781-9561-4449-b482-fb0e17985b00,2001-05-16,,,,,,,CDU/CSU,33.6
86040a7d-88d6-47b1-931e-2ea68e1e6260,2001-04-18,,,,,,,CDU/CSU,32.9
9ff68a47-2c87-4fba-902a-f6a2af3262cd,2001-03-14,,,,,,,CDU/CSU,32.4
2b04d913-c05e-4829-8c16-1252c38b0daf,2001-02-14,,,,,,,CDU/CSU,32.8
3ad17ea7-af3b-4b3c-9468-2a81c0758b07,2001-01-24,,,,,,,CDU/CSU,33.1
41413a99-34ec-4d8e-a1cf-1efe9bc4a6b0,2000-12-20,,,,,,,CDU/CSU,35.2
e6200412-e641-4912-8115-633244179a70,2000-11-15,,,,,,,CDU/CSU,33.8
b80e5821-4a3e-4007-b425-c590c6378684,2000-10-18,,,,,,,CDU/CSU,34.0
12f1cbcb-1697-4ce4-885a-611840b5bc4a,2000-09-27,,,,,,,CDU/CSU,33.1
ee703e07-90c9-4252-9ce3-31209ca1115a,2000-08-16,,,,,,,CDU/CSU,32.4
74a356ea-3651-4c67-b890-78e559b5f24e,2000-07-19,,,,,,,CDU/CSU,32.3
d3e6f11b-9c20-4ef2-b6da-0cc03a8900aa,2000-06-14,,,,,,,CDU/CSU,33.0
4f38782b-2084-417c-9568-a902510a6bfa,2000-04-19,,,,,,,CDU/CSU,32.0
164baac8-78f7-4c15-9650-dde661cfe731,2000-03-22,,,,,,,CDU/CSU,31.3
e8f16675-5eee-4342-8a32-a5c84f5cf1f3,2000-02-23,,,,,,,CDU/CSU,31.3
05611baf-ffdd-420c-8a35-5e351ccd061e,2000-01-19,,,,,,,CDU/CSU,37.8
2d302dd9-49b9-478f-9fad-208c2c4850b8,1999-12-15,,,,,,,CDU/CSU,41.6
02514159-022f-4bb5-8f74-2857286cf1c5,1999-11-17,,,,,,,CDU/CSU,44.7
1bff9955-1990-4e2d-8271-a9385a3d0ca3,1999-10-13,,,,,,,CDU/CSU,44.5
fcaf0ad3-24f6-403f-8d66-650119fdbee4,1999-09-15,,,,,,,CDU/CSU,42.0
9e08a75b-b319-4a49-aece-afdd6c7abe83,1999-08-18,,,,,,,CDU/CSU,42.2
5d84d56b-70f6-4c08-abfc-25c0d25b46b1,1999-07-21,,,,,,,CDU/CSU,43.3
d0026071-833f-4a13-9b34-229c2e4603d6,1999-06-16,,,,,,,CDU/CSU,39.7
e14fb1c8-19f5-4d86-ac11-c2f54f901822,1999-05-19,,,,,,,CDU/CSU,36.8
a36d2d56-3a5b-441a-b8a1-302964e2c334,1999-04-14,,,,,,,CDU/CSU,37.9
31e740c0-3d37-4609-9d1e-56f823b24652,1999-03-17,,,,,,,CDU/CSU,38.7
b5ee98e4-ec38-4ba4-aeb5-5f2ba2257b18,1998-12-16,,,,,,,CDU/CSU,36.3
01e309b2-b70b-4876-a1d6-6a83f9c6d9a3,1998-09-26,,,,,,,CDU/CSU,36.0
b9c630d7-10f5-4f55-ad01-7669ec365d01,1998-09-23,,,,,,,CDU/CSU,36.1
37348aa1-0345-44f2-973f-f0c799f392cd,1998-09-16,,,,,,,CDU/CSU,35.5
b15bb61a-4871-4db6-913b-530ffb0fe6fa,1998-09-09,,,,,,,CDU/CSU,35.6
