uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
9a1ad20ff07351e1aa37c09d37009a61572f877fb93e56b2a6f87be5617839b5,2026-03-31,2.504,24.03.–30.03.,,2504,2026-03-24,2026-03-30,CDU/CSU,26.0
09ca870d60ff5e9546f180d13e2955b290aaee61c19189289a3c8199d8db4592,2026-03-24,2.501,17.03.–23.03.,,2501,2026-03-17,2026-03-23,CDU/CSU,26.0
f95570cb0205f060ddf0d0369cd08669a9c21205db086aab5a026fa8df3e4225,2026-03-17,2.503,10.03.–16.03.,,2503,2026-03-10,2026-03-16,CDU/CSU,27.0
7b917d2b94a62bacc44ad41caedc41c6e71f1240899c33fdd3c0df66b5de94c5,2026-03-10,2.502,03.03.–09.03.,,2502,2026-03-03,2026-03-09,CDU/CSU,26.0
de2b75e6b38057873367f4a0a4b55980666e95c66a477af9141bebafdf1811df,2026-03-03,2.503,24.02.–02.03.,,2503,2026-02-24,2026-03-02,CDU/CSU,26.0
205ce0b165a643138e83eb7b6fa5142ffc7a8ff7ecd9a31e59b12da5bbc19f1f,2026-02-24,2.504,17.02.–23.02.,,2504,2026-02-17,2026-02-23,CDU/CSU,26.0
f468dde4489d623e273b581cb9a7a0df1eef2250a7272a03805b6c7510b0b508,2026-02-17,2.504,10.02.–16.02.,,2504,2026-02-10,2026-02-16,CDU/CSU,26.0
a99d75255b69533b0974a9fafa551f40c46a688a584539458f4a0a556e62e392,2026-02-10,2.503,03.02.–09.02.,,2503,2026-02-03,2026-02-09,CDU/CSU,26.0
575f2e779a6e9e50bba8f5d1797a35ada5bfa490862de6e5352183ce085f4c32,2026-02-03,2.503,27.01.–02.02.,,2503,2026-01-27,2026-02-02,CDU/CSU,26.0
29ac7e7c628a7bc95085258befde87e64ce228345d8dace14cda7c558c145a16,2026-01-27,2.501,20.01.–26.01.,,2501,2026-01-20,2026-01-26,CDU/CSU,26.0
c720743ff684b19d8698ad64063a25695d12c9afddb3f80e11cc1d55a4463166,2026-01-20,2.501,13.01.–19.01.,,2501,2026-01-13,2026-01-19,CDU/CSU,25.0
0e13548429c1410d3d0f69c122a68da86edca472739e11cfca5ed2e7d64968b0,2026-01-13,3.004,05.01.–12.01.,,3004,2026-01-05,2026-01-12,CDU/CSU,24.0
085be879ac37ecb5afa33bdd5d28267bb683cf175089eedb6d3ca7564bfe563c,2025-12-23,2.003,16.12.–19.12.,,2003,2025-12-16,2025-12-19,CDU/CSU,24.0
ec1bf3c1926cbcdc5c21004102952e2f378342bf6a920d37b94d0f074946afef,2025-12-16,2.503,09.12.–15.12.,,2503,2025-12-09,2025-12-15,CDU/CSU,24.0
c10535f4dae893487654872f8ae43f576261d11dcc3efb056484ba39415084c0,2025-12-09,2.503,02.12.–08.12.,,2503,2025-12-02,2025-12-08,CDU/CSU,24.0
e07662b1583ba7ed2e7ce0364da4821e3499dd91c681e3fed23369d84edf9d61,2025-12-02,2.501,25.11.–01.12.,,2501,2025-11-25,2025-12-01,CDU/CSU,25.0
1d8f70d0b31d55845fc482adea63e7e7588a46cb07cdcaaec2128bc451860746,2025-11-25,2.501,18.11.–24.11.,,2501,2025-11-18,2025-11-24,CDU/CSU,25.0
f5b7106487872a6d54cc2cbb274a7636577e801b88a9032ead7e42f0ae555eab,2025-11-18,2.502,11.11.–17.11.,,2502,2025-11-11,2025-11-17,CDU/CSU,25.0
aba8ccc51557479231dda444000d15459181f17b63d8f0e3fd8690bac27b1206,2025-11-11,2.503,04.11.–10.11.,,2503,2025-11-04,2025-11-10,CDU/CSU,24.0
e9e6be8fed596cb9d8ec2227340da0ccc4df5d31726791a7ff11a8d350e7b176,2025-11-04,2.500,28.10.–03.11.,,2500,2025-10-28,2025-11-03,CDU/CSU,24.0
31398f38d97096223d722d8c39b3b43c8fbe95b561a8e02da121e465ed054ac3,2025-10-28,2.502,21.10.–27.10.,,2502,2025-10-21,2025-10-27,CDU/CSU,25.0
92a9b3e0de4b849796f11a6e1644b1809cb1733604ceddc48e5e5cbb1e939c88,2025-10-21,2.505,14.10.–20.10.,,2505,2025-10-14,2025-10-20,CDU/CSU,24.0
848d5badbe796479de03de011a0e653dc4ae1b32f26f5833da1503068896bafb,2025-10-14,2.500,07.10.–13.10.,,2500,2025-10-07,2025-10-13,CDU/CSU,24.0
843febbdd842fe651f261100f4d7fcee4ecf58427d3ffa7d0e682882220e674c,2025-10-07,2.001,30.09.–06.10.,,2001,2025-09-30,2025-10-06,CDU/CSU,24.0
fd875605f439b05abd4787061a6784c3617a85513bda44aacdcd3abf6af4fbfc,2025-09-30,2.504,23.09.–29.09.,,2504,2025-09-23,2025-09-29,CDU/CSU,24.0
9dc05085c0f35af7e0c4d5323e68dd9d0afc9441e2f9b266e099d924e3b50a65,2025-09-23,2.504,16.09.–22.09.,,2504,2025-09-16,2025-09-22,CDU/CSU,25.0
b8abdfa615f14d34e92c714cfcaa8258752d74fad80c6fabdb70d6bb157b2716,2025-09-16,2.502,09.09.–15.09.,,2502,2025-09-09,2025-09-15,CDU/CSU,25.0
05166c921a8726dbb132fc90029bc6d30bd58f0c676c306e0e8012bb184ad81f,2025-09-09,2.500,02.09.–08.09.,,2500,2025-09-02,2025-09-08,CDU/CSU,25.0
07bf19fe639430f60e52c2a7272de41bd05d8bbadd7f6a08568d373dd3f61bd3,2025-09-02,2.502,26.08.–01.09.,,2502,2025-08-26,2025-09-01,CDU/CSU,25.0
dd1ed394fa0d2727af5b9207d2ae76c411aeb596fbefea934980abfb569121ae,2025-08-26,2.501,19.08.–25.08.,,2501,2025-08-19,2025-08-25,CDU/CSU,25.0
10c4741ac2b4cb8a26bde40a8fed1ffb147d832021c9dd3db3a45f3f9b2efab1,2025-08-19,2.502,12.08.–18.08.,,2502,2025-08-12,2025-08-18,CDU/CSU,25.0
543815b90785d891e077aa68859ce919a3814247ab522834669b15b57e37f5e4,2025-08-12,2.505,05.08.–11.08.,,2505,2025-08-05,2025-08-11,CDU/CSU,24.0
