uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
f30e75db-6c62-4774-ab96-22375ae709bc,1998-12-17,,,,,,,CDU/CSU,37.0
683df7d7-4317-4d54-8021-893758ba5093,1998-12-10,,,,,,,CDU/CSU,39.0
d4209451-740c-4dfc-bca6-aaa3391ab91e,1998-12-03,,,,,,,CDU/CSU,39.0
f2a7647a-7b4b-4767-9a75-e6736ffc2d07,1998-11-26,,,,,,,CDU/CSU,38.0
f541bfd2-cbc0-4bde-bf94-dd2704241f68,1998-11-19,,,,,,,CDU/CSU,37.0
e1d0aa62-7f67-47df-9cc1-44f69fa2ba9f,1998-11-12,,,,,,,CDU/CSU,38.0
b1f8c18b-1d8e-4ad9-b4b0-5792d517e1b1,1998-11-05,,,,,,,CDU/CSU,38.0
a14bd409-9642-4438-acc0-b2d681dad138,1998-10-29,,,,,,,CDU/CSU,39.0
b1757010-ea4b-4ae5-a08d-255a776f90e5,1998-09-29,,,,,,,CDU/CSU,38.0
9e980e4b-fde8-4cb4-9757-703664b4a958,1998-09-25,,,,,,,CDU/CSU,38.0
0053de90-4faf-4d21-981e-2165e738e4c7,1998-09-24,,,,,,,CDU/CSU,38.0
f6a8f048-683e-4e10-8815-78e5f66a9a94,1998-09-23,,,,,,,CDU/CSU,37.0
5bb4bc65-e9f4-4bff-9133-728995417cb4,1998-09-22,,,,,,,CDU/CSU,38.0
6bc5912e-14df-4e0f-9e27-6b59f6b387d6,1998-09-21,,,,,,,CDU/CSU,38.0
33298a6c-bfc9-4f18-ab39-7d0b28193f85,1998-09-20,,,,,,,CDU/CSU,38.0
d6e6da82-9ef7-4805-bed5-5896498c9955,1998-09-19,,,,,,,CDU/CSU,38.0
039fd6f7-8fa4-4f15-8882-ed49a181dae3,1998-09-18,,,,,,,CDU/CSU,38.0
1fbdbac9-419c-4843-9feb-4136e6965173,1998-09-17,,,,,,,CDU/CSU,38.0
9bb9b120-23b1-4d7d-9b9a-c1e687f8fe84,1998-09-16,,,,,,,CDU/CSU,38.0
0cfd36a1-543d-499f-b44d-4167789fe06a,1998-09-15,,,,,,,CDU/CSU,38.0
44458352-3703-4334-bb31-d256d8511d03,1998-09-14,,,,,,,CDU/CSU,36.0
3b1608b4-e7db-46b0-8c7b-3425948c0b0c,1998-09-13,,,,,,,CDU/CSU,36.0
