uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
bf4043318ced20347bbff6fe6e1a704616393ea6b9be96525fe61bc9513dd5c8,2026-03-27,1.206,24.03.–26.03.,,1206,2026-03-24,2026-03-26,CDU/CSU,26.0
35a9d6ac20e870b3a632e96dcab51c43410027435cd309d66bb6de0badf72942,2026-02-27,1.262,24.02.–26.02.,,1262,2026-02-24,2026-02-26,CDU/CSU,26.0
17208676d11c676e9314a14f869248116c5c3d6dec5674f62bd3a8a1d2bfa335,2026-02-06,1.289,03.02.–05.02.,,1289,2026-02-03,2026-02-05,CDU/CSU,26.0
addac8c613de103be7d98baf0d2407e01fd6d47356b47e811e1a729e51741fef,2026-01-16,1.245,13.01.–15.01.,,1245,2026-01-13,2026-01-15,CDU/CSU,26.0
690c111c9995e2517eac3453e4c50948006334c77347cb28f61eb24b72119f7d,2025-12-12,1.295,09.12.–11.12.,,1295,2025-12-09,2025-12-11,CDU/CSU,26.0
f2fe7949bd362933a2ece8c9f2dfd0b362fe77882fad6d78e5fd48264fb8d827,2025-11-21,1.207,18.11.–20.11.,,1207,2025-11-18,2025-11-20,CDU/CSU,27.0
8a198b8fa959d1f4fc236c4714b6c9d9c16d1fd065f0aae02419c1a96ecaf07e,2025-11-07,1.322,04.11.–06.11.,,1322,2025-11-04,2025-11-06,CDU/CSU,26.0
bcdb96988918b7c9cbced9540b2ab46ecaee23ab2b31eb3e1d2477d1cc95dde9,2025-10-24,1.272,21.10.–23.10.,,1272,2025-10-21,2025-10-23,CDU/CSU,27.0
27d8475ead6e7d3ebd98c344f98258bf6f4bd395c6be8e5d674b054e38396ee3,2025-10-02,1.300,29.09.–01.10.,,1300,2025-09-29,2025-10-01,CDU/CSU,27.0
3197e5ddac22773736391e8f53b4e82fa6927aa653ab0e6f5cdeec1424ad5d24,2025-09-19,1.419,16.09.–18.09.,,1419,2025-09-16,2025-09-18,CDU/CSU,26.0
fea87f393362c8e082cc3eb0540196d248a1d4e91ab6c0cf81d281619af72cf8,2025-09-05,1.269,02.09.–04.09.,,1269,2025-09-02,2025-09-04,CDU/CSU,27.0
e2b4e3558aef7dac4a2c214818848e9e68f4e36c4299e2fcfca878cb4b3d1ba4,2025-08-14,1.370,11.08.–13.08.,,1370,2025-08-11,2025-08-13,CDU/CSU,27.0
9f907de0181eae2fcc0724e8a5df40f02efc555b9b438caaea300567b0fd80ed,2025-07-25,1.367,22.07.–24.07.,,1367,2025-07-22,2025-07-24,CDU/CSU,27.0
93ae6f4e18f84c9962b933f2ac0e282e688510cc79c7ab73e8f3e8f41e3e9de5,2025-06-27,1.378,24.06.–26.06.,,1378,2025-06-24,2025-06-26,CDU/CSU,29.0
3f0acd4b84c6f67fc21d2644a94b260be0a7d06b3ce09390235517146887286d,2025-06-06,1.247,03.06.–05.06.,,1247,2025-06-03,2025-06-05,CDU/CSU,27.0
af43be87a20ca6cc1fe3587b337183cd37f974e733fc2f9d37a841df41bade4a,2025-05-23,1.328,20.05.–22.05.,,1328,2025-05-20,2025-05-22,CDU/CSU,26.0
a736d6fb0e52ef5c0b28564060457a6d27380b56fa0f95bf840ee6ae203066d7,2025-05-02,1.297,28.04.–30.04.,,1297,2025-04-28,2025-04-30,CDU/CSU,27.0
d04272bea41da7a575d0a001ab56e9d0a070a82c469cf28a40a16e674b47c0e0,2025-04-11,1.322,08.04.–10.04.,,1322,2025-04-08,2025-04-10,CDU/CSU,26.0
408ee412eef8e124bf558ed64c45068c509ed21ef71b9d7b106417442ca70f15,2025-03-21,1.305,18.03.–20.03.,,1305,2025-03-18,2025-03-20,CDU/CSU,27.0
58339f577d5d2b628d42e82381c26926f729205dbc6e096e98635a73c666fff5,2025-03-07,1.249,04.03.–06.03.,,1249,2025-03-04,2025-03-06,CDU/CSU,28.0
5108c70c65e46c83d62e4d320d4f8f31aa01b16611b87d34afb33c4808d5c4a8,2025-02-20,1.349,19.02.–20.02.,,1349,2025-02-19,2025-02-20,CDU/CSU,28.0
e7fa2a645c6212d575b90fa89ed6e73d9e740a4ac1e90569a01f38084b6cfab1,2025-02-14,1.348,11.02.–13.02.,,1348,2025-02-11,2025-02-13,CDU/CSU,30.0
99afd6c27de5fa40571a5416a6c9bb2de482a949000eca098fc4d726cd4b8c76,2025-02-07,1.341,04.02.–06.02.,,1341,2025-02-04,2025-02-06,CDU/CSU,30.0
3c8d52c0a7639c43bdc8cbfb6b04b6a8c5db9abe9d722d1d6d9d66f71b571707,2025-01-30,1.428,27.01.–29.01.,,1428,2025-01-27,2025-01-29,CDU/CSU,29.0
a06ee926504ff2c7627ba275038348c00020a4c5817953239bf246cd395e1683,2025-01-24,1.345,21.01.–23.01.,,1345,2025-01-21,2025-01-23,CDU/CSU,30.0
5fd8c6b70006abc433acdc7a79677093ab0508452bfa5efd138c6145bbe07b6e,2025-01-10,1.433,07.01.–09.01.,,1433,2025-01-07,2025-01-09,CDU/CSU,30.0
4419dff094f272c62ac2f45f9e438b67eabb917d99fd225de99d27c0102a94d9,2024-12-20,1.362,17.12.–19.12.,,1362,2024-12-17,2024-12-19,CDU/CSU,31.0
92411d7fd1a3ed9a07572d77a45bb2d722679d662fd22e924007db0db8f50852,2024-12-06,1.433,03.12.–05.12.,,1433,2024-12-03,2024-12-05,CDU/CSU,33.0
be8aee28f6c77d22a7d781bffc4ab7c4fe7756fcf19d185d64c90a679e04e1bd,2024-11-22,1.399,19.11.–21.11.,,1399,2024-11-19,2024-11-21,CDU/CSU,32.0
99e67cca054b53df52c9af8b3180b779960a65507312f700aa39e68fedc85ff4,2024-11-08,1.231,05.11.–07.11.,,1231,2024-11-05,2024-11-07,CDU/CSU,33.0
15e5e956ccc8e5f2a9f499fa587a746d14da87416272769a7b887c85ced6847f,2024-10-18,1.249,15.10.–17.10.,,1249,2024-10-15,2024-10-17,CDU/CSU,31.0
e2a4c3b81c7ad62bfa225f49673fb44f4d78d57c128ce8a06806e78e28bb28ab,2024-09-27,1.348,24.09.–26.09.,,1348,2024-09-24,2024-09-26,CDU/CSU,31.0
cc144aa97c10431830ef5832e2a4b8e5d04b399ef3b1abf3ed9753e74c27c1cf,2024-09-06,1.328,03.09.–05.09.,,1328,2024-09-03,2024-09-05,CDU/CSU,33.0
f0ef87f056d9128ae13de112ed47eb3bb78b3ff9c2a424ddebcdd564d93739ad,2024-08-15,1.334,12.08.–14.08.,,1334,2024-08-12,2024-08-14,CDU/CSU,32.0
e2a9af3500c0bc429b75eaab85989bcf350af12665a44b315a803eaaec3ff5f9,2024-07-12,1.341,09.07.–11.07.,,1341,2024-07-09,2024-07-11,CDU/CSU,32.0
88e19f154e443ff712f63e9293110e4e9908f043956e3fa7e757fb9997ab2519,2024-06-28,1.186,25.06.–27.06.,,1186,2024-06-25,2024-06-27,CDU/CSU,31.0
27b4916fe92caf05420a5b5cad1ca19c05e839f24c0547fa57ee85a94358a8bb,2024-06-13,1.334,10.06.–12.06.,,1334,2024-06-10,2024-06-12,CDU/CSU,30.0
41b69a6d7eec3709fbdb838680ed0382e8402834cb169049777e791e5f3b768b,2024-05-17,1.247,14.05.–16.05.,,1247,2024-05-14,2024-05-16,CDU/CSU,31.0
