uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
092fdb76-a909-4b6e-85cd-27584dfb113f,1998-09-18,,,,,,,CDU/CSU,37.5
3439bd18-2c07-4a21-b9da-63365760a462,1998-09-11,,,,,,,CDU/CSU,37.0
93ccf793-5b91-4f54-9b39-6a745a1ba412,1998-09-04,,,,,,,CDU/CSU,38.0
90bcebfa-e3cd-46bb-8b73-9f997aafbe00,1998-08-14,,,,,,,CDU/CSU,38.0
082d7c1c-a765-40ae-a80b-9ce222c88679,1998-07-17,,,,,,,CDU/CSU,37.0
1e7ef879-475c-40cf-ae55-b73d9400ab8c,1998-06-19,,,,,,,CDU/CSU,36.0
467ab63d-d5f7-4fc5-bfa6-afd20992e55b,1998-05-15,,,,,,,CDU/CSU,35.0
0c933c59-3c8f-42c7-ac90-10e42927e0e2,1998-04-17,,,,,,,CDU/CSU,35.0
2c567fd1-9808-43c6-a4dc-d4696ebd487e,1998-03-13,,,,,,,CDU/CSU,36.0
d4cd529a-7554-4e6b-b672-04f7926448a9,1998-02-13,,,,,,,CDU/CSU,37.0
03c11046-e494-4256-8f04-5c12cdee55d0,1998-01-16,,,,,,,CDU/CSU,37.0
ca100d1c-8c35-4e69-b931-c74bd9568de5,,,,,,,,CDU/CSU,37.0
fccb95de-19c4-41af-8d90-2bede6478026,,,,,,,,CDU/CSU,37.0
1e5cc359-a187-49f0-b84f-76652928843c,,,,,,,,CDU/CSU,38.0
a852fd0f-9dbc-4d07-a697-39c3b60b41c6,,,,,,,,CDU/CSU,37.0
e4ffc027-f9ae-43e2-8f91-f4b8880eac99,,,,,,,,CDU/CSU,36.0
42456ed5-b426-4138-99ca-b33e8c642552,,,,,,,,CDU/CSU,37.0
cc431ecc-6f62-4e00-886b-dfb6fee7fb5c,,,,,,,,CDU/CSU,38.0
3493cd9d-48f8-4ccc-bb5b-dfa1fc6e7129,,,,,,,,CDU/CSU,39.0
2472637e-da9e-4023-bfa2-3514181b046b,,,,,,,,CDU/CSU,39.0
ddff0554-f063-4ac9-9788-4c091656e219,,,,,,,,CDU/CSU,40.0
c3a667ec-b71a-4a02-95ed-5636980f5745,,,,,,,,CDU/CSU,42.0
97aab18f-9a94-4de6-8795-4e2dc97d27ce,,,,,,,,CDU/CSU,42.0
e87b0342-1cbc-43eb-9067-e49581cd30b0,,,,,,,,CDU/CSU,42.0
f8491d05-ba81-4805-810f-b39a0d99e2f9,,,,,,,,CDU/CSU,41.0
39efecd4-700b-4f5b-b489-3388d657579c,,,,,,,,CDU/CSU,41.0
9152e522-902f-4833-843a-3f5245452d91,,,,,,,,CDU/CSU,41.0
d6f586c1-963b-4c8a-9c41-6fe9fe9cd710,,,,,,,,CDU/CSU,42.0
2247141b-7c8c-4e4c-bd65-c748bc00f759,,,,,,,,CDU/CSU,43.0
a0c9f788-ff74-4689-a7b6-cd65a346563b,,,,,,,,CDU/CSU,43.0
00cb8c9c-f865-4024-938f-43fe1f68da5e,,,,,,,,CDU/CSU,44.0
