uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
9d4cc18e6b48b06643c4c87805ad0be312fd74e1d79e263a0e9933f1131afb48,2017-10-19,T• 1.005,12.10.–18.10.,T,1005,2017-10-12,2017-10-18,AfD,13.0
d85033e08f6f61b50302c544a1c9df29635cc3918cd0de6b4913e7ee31651db1,2017-12-04,T• 1.010,28.11.–01.12.,T,1010,2017-11-28,2017-12-01,AfD,13.0
4dcc91a6d25a95f4905e94318558689ccc4ac51e6208ab56e831955148082e91,2018-01-03,T• 1.005,27.12.–02.01.,T,1005,2017-12-27,2018-01-02,AfD,14.0
480c818cc19eb5ed73b68c3f6f0d119242e7d07422daa6bc1d68ead46d1098be,2018-02-08,T• 1.007,01.02.–07.02.,T,1007,2018-02-01,2018-02-07,AfD,14.0
8984048351c46c12101bf49f43ff79bb2d850b2af5d0a88a5e726a93ff0d1572,2018-03-22,T• 1.003,16.03.–21.03.,T,1003,2018-03-16,2018-03-21,AfD,13.0
8796e15b8f81202b6493f459877bb1b3d01a5a7f7240776323e3e8e2dd901830,2018-04-27,T• 1.005,20.04.–26.04.,T,1005,2018-04-20,2018-04-26,AfD,13.0
ee047b49c0ed11f7ebc57e23ee252552e37a927976eeb28052252401ca4aa88e,2018-05-17,T• 1.003,11.05.–16.05.,T,1003,2018-05-11,2018-05-16,AfD,14.0
5e49dfeab8df5cc111282c67962c448aaf402d96b4584cd3e6ab8f4f233633e3,2018-07-12,T• 1.006,05.07.–11.07.,T,1006,2018-07-05,2018-07-11,AfD,17.0
da397a63b888c8212309f2ff09c4e95e8e9988fea885f00f6e2b875bc02babbf,2018-08-01,T• 1.005,25.07.–31.07.,T,1005,2018-07-25,2018-07-31,AfD,16.0
478c2518397a822693e5f98ed10bd7de6aa3f93fabd5a917341593b701c5fb73,2018-09-11,T• 1.003,04.09.–10.09.,T,1003,2018-09-04,2018-09-10,AfD,16.0
