uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
0a885957-4308-4319-add3-1a98fcf2977d,2005-09-12,1.008,07.09.–10.09.,,1008,2005-09-07,2005-09-10,CDU/CSU,42.0
7edc6f74-de46-404b-8106-239215208b9c,2005-09-05,1.005,29.08.–03.09.,,1005,2005-08-29,2005-09-03,CDU/CSU,42.0
afbc83f0-ae67-460e-bff3-9f6ddcc2a4f8,2005-08-09,1.009,04.08.–08.08.,,1009,2005-08-04,2005-08-08,CDU/CSU,43.0
5fbc0466-ef9a-463d-ad35-c4d6d662dbfa,2005-07-20,1.007,11.07.–15.07.,,1007,2005-07-11,2005-07-15,CDU/CSU,45.0
ffde1edb-5763-493c-8380-797e674e9103,2005-06-23,1.013,13.06.–17.06.,,1013,2005-06-13,2005-06-17,CDU/CSU,46.0
902ebc96-a5de-4925-9d59-71a151e05c9f,2005-05-18,1.008,09.05.–13.05.,,1008,2005-05-09,2005-05-13,CDU/CSU,45.0
56b7a86b-51e8-4136-b7d4-d2c4012ae505,2005-04-20,1.009,11.04.–15.04.,,1009,2005-04-11,2005-04-15,CDU/CSU,45.0
95710a2f-da86-4194-aa8f-d811b2dd786a,2005-03-17,1.009,09.03.–15.03.,,1009,2005-03-09,2005-03-15,CDU/CSU,42.0
d3d3f731-782a-46cb-9864-fe657e7e9181,2005-02-21,1.010,14.02.–18.02.,,1010,2005-02-14,2005-02-18,CDU/CSU,40.0
2cd92d4d-87d7-49f1-82ca-d02d8c3245f1,2005-01-20,1.009,12.01.–18.01.,,1009,2005-01-12,2005-01-18,CDU/CSU,38.0
f0a84232-5753-4f07-b878-52c60eaa699a,2004-12-16,1.003,08.12.–14.12.,,1003,2004-12-08,2004-12-14,CDU/CSU,40.0
11a1682d-da7f-4b5a-9d64-1f229b436d83,2004-11-18,1.008,10.11.–16.11.,,1008,2004-11-10,2004-11-16,CDU/CSU,39.0
a02c0a03-04f9-4e2b-adf5-fe1e951ae7da,2004-10-21,1.010,13.10.–19.10.,,1010,2004-10-13,2004-10-19,CDU/CSU,41.0
60ac3b1d-a5c1-4d54-8844-95f27d149700,2004-09-23,1.005,15.09.–21.09.,,1005,2004-09-15,2004-09-21,CDU/CSU,42.0
db1f8329-3133-4fa5-a377-6aa26cc7ffe6,2004-08-19,1.002,11.08.–17.08.,,1002,2004-08-11,2004-08-17,CDU/CSU,43.0
6e640025-8135-49d6-ae3a-f90a74f8dd59,2004-07-22,1.007,14.07.–20.07.,,1007,2004-07-14,2004-07-20,CDU/CSU,45.0
bad38f9b-b653-46fe-b5f2-fdf9f988c0ec,2004-06-24,1.005,16.06.–22.06.,,1005,2004-06-16,2004-06-22,CDU/CSU,47.0
417a799c-49c3-44f1-a3a3-c67afa1d9393,2004-05-19,1.002,12.05.–18.05.,,1002,2004-05-12,2004-05-18,CDU/CSU,48.0
de72d674-a492-4e6e-ab6c-03bb96fd2838,2004-04-22,1.006,14.04.–20.04.,,1006,2004-04-14,2004-04-20,CDU/CSU,46.5
