uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
7c0fc3d3304446f79cfddffa60fb47da4c0f17b787b80a39b2523d0d49bead35,2021-10-02,TOM• 1.254,27.09.–01.10.,TOM,1254,2021-09-27,2021-10-01,AfD,10.0
b94328deed1df31346fdc1029d3936c7930041ede6262300f305be3370dfb815,2021-10-04,O• 2.000,01.10.–04.10.,O,2000,2021-10-01,2021-10-04,AfD,10.0
e96db4d6aab71669be79f01c4020ba9e95ac28b14905f02a1a43a2fb73a9c83b,2021-10-09,TOM• 1.509,04.10.–08.10.,TOM,1509,2021-10-04,2021-10-08,AfD,10.0
18460e12b0809293838ba759061aa964899089a05c708982a25e80d3973b6c2f,2021-10-11,O• 2.101,08.10.–11.10.,O,2101,2021-10-08,2021-10-11,AfD,11.0
cee20dbba91ea9c29907666c47c40684a049646bc82858b924e3d7cd3c59bb0b,2021-10-16,TOM• 1.195,11.10.–15.10.,TOM,1195,2021-10-11,2021-10-15,AfD,11.0
ba0318e75fd36ee98d691cd9ef90e89209f2c58f2ac233483a699d109c5740ed,2021-10-18,O• 2.140,15.10.–18.10.,O,2140,2021-10-15,2021-10-18,AfD,11.5
aee10e03ca44ed6affed206c382b5bae132cc36bb5e8035c38d03bf14ac02568,2021-10-23,TOM• 1.205,18.10.–22.10.,TOM,1205,2021-10-18,2021-10-22,AfD,11.0
5c02cec05e18ecb13dd2d6d76e05efac5b4755914d593ace4787f22a913faf62,2021-10-25,O• 2.105,22.10.–25.10.,O,2105,2021-10-22,2021-10-25,AfD,11.0
ab19fa98ad7daa26fe28e15045589eb740ac8abd9d42cc3b4dfbb4c86d36d75b,2021-10-30,TOM• 1.503,25.10.–29.10.,TOM,1503,2021-10-25,2021-10-29,AfD,11.0
87b7c5405a3aa8c9b77f69164e7dcbc3989981906485b4cdd7201d9fd47dbc19,2021-11-02,O• 2.140,29.10.–01.11.,O,2140,2021-10-29,2021-11-01,AfD,11.5
83de93e601574711a620466bbda670d580bd65222a0b468610b33088dadbffe5,2021-11-06,TOM• 1.212,01.11.–05.11.,TOM,1212,2021-11-01,2021-11-05,AfD,11.0
cbe943265c2bf9a0c49dc35b529e550512d90386bb81822d32e4b29bd2630224,2021-11-08,O• 2.112,05.11.–08.11.,O,2112,2021-11-05,2021-11-08,AfD,10.5
7ee72dd3a04fc9fb0ac578be3451c9cc6952a61fb4aabafeb6e884cba4e7e9a8,2021-11-13,TOM• 1.202,08.11.–12.11.,TOM,1202,2021-11-08,2021-11-12,AfD,11.0
1db222a5675f6690b034c1b1d10c401bf669e89402ed486dcdcddbccde9e9cfe,2021-11-15,O• 2.091,12.11.–15.11.,O,2091,2021-11-12,2021-11-15,AfD,11.5
237e1dbb38ff850615f0a9412481276754f88a6b78ae74ef25121564f7ae8374,2021-11-20,TOM• 1.501,15.11.–19.11.,TOM,1501,2021-11-15,2021-11-19,AfD,12.0
c80105a55c0f6b401b24dfe8dbd4e1d5139eb22253f67893ea9285bbc14443ba,2021-11-22,O• 2.096,19.11.–22.11.,O,2096,2021-11-19,2021-11-22,AfD,11.0
b0931f080ebf7a22005943b9211973aa3d003d9008c137b21b1f6d1b30671de9,2021-11-27,TOM• 1.403,22.11.–26.11.,TOM,1403,2021-11-22,2021-11-26,AfD,12.0
7a27233aa11be879e4263b2db2f904a38227b2b515dfeaebf376dbe73ef45236,2021-11-29,O• 2.129,26.11.–29.11.,O,2129,2021-11-26,2021-11-29,AfD,11.0
602adcc54b473f5ececb309864b322d08ea4f1d5c5b2dbc26ea22a6a20e7fb49,2021-12-04,TOM• 1.348,29.11.–03.12.,TOM,1348,2021-11-29,2021-12-03,AfD,12.0
6f9f1db990aa84206006a503a2a4d84d9d9756ca2995542e5539f8c60a5e3ea4,2021-12-06,O• 2.119,03.12.–06.12.,O,2119,2021-12-03,2021-12-06,AfD,11.5
d12a09064e4de0ce335ec96210742862637c7700e41b733529513b9c85a05956,2021-12-11,TOM• 1.480,06.12.–10.12.,TOM,1480,2021-12-06,2021-12-10,AfD,11.0
b600d74b1a151fa65d4da5d7276609322c9903a657867c2d610e1cc47a517015,2021-12-13,O• 2.221,10.12.–13.12.,O,2221,2021-12-10,2021-12-13,AfD,11.5
37c4dc3883989fc60bc3842493170feeaca01dc561534b4d4a84d16c07a8f538,2021-12-18,TOM• 1.501,13.12.–18.12.,TOM,1501,2021-12-13,2021-12-18,AfD,12.0
46adfe6223403df129255651c56deb0267f23161a5719a0a89f40ee986a5b440,2021-12-20,O• 2.075,17.12.–20.12.,O,2075,2021-12-17,2021-12-20,AfD,11.5
67c983ace46a9d5aa19c7ed517618aad23eb058b4b020e2f7ca983a0826e34c0,2021-12-26,TOM• 1.195,20.12.–23.12.,TOM,1195,2021-12-20,2021-12-23,AfD,11.0
56eec976fb34b5a31b14c11370e92c50988e37a066abfeac2d022614b94eccc3,2022-01-01,TOM• 1.201,27.12.–30.12.,TOM,1201,2021-12-27,2021-12-30,AfD,11.0
d29b21c1e4958a887deb645a891c462d346f4f80508d6645b81defceeb67743c,2022-01-03,O• 2.060,30.12.–03.01.,O,2060,2021-12-30,2022-01-03,AfD,11.5
0866ab792092291a2bf2699e819818fe55785204abaf797e1cda135ee0d35ebc,2022-01-08,TOM• 1.504,03.01.–08.01.,TOM,1504,2022-01-03,2022-01-08,AfD,11.0
db105ca3efcbcec7e4d5664b17313e55444ab5dfe83d1a639e96546c954832d9,2022-01-10,O• 2.107,07.01.–10.01.,O,2107,2022-01-07,2022-01-10,AfD,12.0
bdf3fcee515e38c7077b165955a48468032d3c4303f5d8bc4a39aa434e872db4,2022-01-15,TOM• 1.504,10.01.–14.01.,TOM,1504,2022-01-10,2022-01-14,AfD,12.0
e3afb1d6add8ee1f81df8bfd9cd0b62ce2f8f71d156b5fc60f8c6af31222bd3d,2022-01-17,O• 2.130,14.01.–17.01.,O,2130,2022-01-14,2022-01-17,AfD,12.0
26a99b99b72c5285dd7b5a36e507d39e5056ef418c12efa1aceb5b8b50616ac5,2022-01-22,TOM• 1.204,17.01.–21.01.,TOM,1204,2022-01-17,2022-01-21,AfD,12.0
2c7dd2575d0a96e22c2c54d2724e2df83d3741f29c0cb5378fe49fdd2274e617,2022-01-24,O• 2.146,21.01.–24.01.,O,2146,2022-01-21,2022-01-24,AfD,11.0
314f05aaee405e57b8ac2628348a92dfd6fabb7a631ebd779af5289529714ac5,2022-01-29,TOM• 1.383,24.01.–28.01.,TOM,1383,2022-01-24,2022-01-28,AfD,11.0
4c48d347f53dd1f59c26ea6206072401a1fe0e444b232a6af2ba46155f903472,2022-01-31,O• 2.147,28.01.–31.01.,O,2147,2022-01-28,2022-01-31,AfD,10.0
4c2463a4a8f56a2af1c2260569e2ca149ccb0a6a4f5702aa2ba7c34615712268,2022-02-05,TOM• 1.202,01.02.–04.02.,TOM,1202,2022-02-01,2022-02-04,AfD,11.0
b4fd2568c499d1f374bf1e0f014a0a73626e26d149ed37a9a2ba782b0ec5dc4e,2022-02-07,O• 2.067,04.02.–07.02.,O,2067,2022-02-04,2022-02-07,AfD,11.0
7f1427f06f5a605d31ee26be9a4edc38ae6d11b1ec4a50d429535a5ca1e44085,2022-02-12,TOM• 1.504,07.02.–11.02.,TOM,1504,2022-02-07,2022-02-11,AfD,12.0
d242dafb92de413481381d316d6aa2f80f3afa889a08ba4361b0f6868b89883a,2022-02-14,O• 2.141,11.02.–14.02.,O,2141,2022-02-11,2022-02-14,AfD,12.0
b454a2a96639dbbcf0cdb1a7b5fee755ab4922587f3b25cae759d35461ce0b6b,2022-02-19,TOM• 1.303,14.02.–18.02.,TOM,1303,2022-02-14,2022-02-18,AfD,12.0
ae21ffc1ef102f161722b972ee33808a4e759731142558acc3582dd220ba6094,2022-02-21,O• 1.539,18.02.–21.02.,O,1539,2022-02-18,2022-02-21,AfD,11.0
0713a3476283de51780e10f1fc6813c29507f4b0393a5a2bc77b9da1f6a4c49e,2022-02-27,TOM• 1.405,21.02.–25.02.,TOM,1405,2022-02-21,2022-02-25,AfD,12.0
a5dc6d680e8638afa3ecf3a8cfbd7327141aa5934fe098002c3c7d9ef232cdc1,2022-03-01,O• 2.067,25.02.–28.02.,O,2067,2022-02-25,2022-02-28,AfD,10.5
f66cf9236c13dff9768d56a56acbe2d0f7a304a36a0322aea774245c3e06a356,2022-03-05,TOM• 1.185,28.02.–04.03.,TOM,1185,2022-02-28,2022-03-04,AfD,11.0
4765b601862dfb06086e04a9368cdb3373c40b4d03964d9e35d1815b0c847dde,2022-03-07,O• 2.103,04.03.–07.03.,O,2103,2022-03-04,2022-03-07,AfD,10.5
cb37f288e76ca671d016ceff71646715f46f8a9ed8749d9fa9aa87c4283a8fee,2022-03-12,TOM• 1.201,07.03.–11.03.,TOM,1201,2022-03-07,2022-03-11,AfD,10.0
501adee43a54e35e5df73ba28016d4ffdde4acd25749b694141f2eee153e48d8,2022-03-14,O• 2.073,11.03.–14.03.,O,2073,2022-03-11,2022-03-14,AfD,10.5
737bbd0b3a1ffcebcacbc47a5c8d64eced893562d842be771eaf64e9259e26cb,2022-03-19,TOM• 1.198,14.03.–18.03.,TOM,1198,2022-03-14,2022-03-18,AfD,10.0
6920ed93933fe930057520d63504293c71c46390f554b51c969ae4a002160e3d,2022-03-21,O• 2.122,18.03.–21.03.,O,2122,2022-03-18,2022-03-21,AfD,11.0
9c20fb70fd1d883ce4711feb329c7645bf9dc18cbfd7fa7195d98305d18b5377,2022-03-26,TOM• 1.205,21.03.–25.03.,TOM,1205,2022-03-21,2022-03-25,AfD,11.0
a055ec031d0e299dd27699d0f9a3600f8ee3c5c8d55b593a1bf04b7f45e3f727,2022-03-29,O• 2.070,25.03.–28.03.,O,2070,2022-03-25,2022-03-28,AfD,10.5
6ff7d17f06c61f217350dff74337d50c052779232dffdfe103a2ed40f5a781b2,2022-04-02,TOM• 1.501,25.03.–01.04.,TOM,1501,2022-03-25,2022-04-01,AfD,11.0
f7582cc6fef1c441c6b4a97d7786dce124843d201c7ac138b039211e60f0e56b,2022-04-04,O• 2.063,01.04.–04.04.,O,2063,2022-04-01,2022-04-04,AfD,10.5
64c40503dd43f5dfdca5f69b120c4fc5607cbd8f23672a2284821ba3c31dfabc,2022-04-09,TOM• 1.503,04.04.–08.04.,TOM,1503,2022-04-04,2022-04-08,AfD,11.0
05a1ff66ec8f4b57f10a16ad3c4b38df9b829ebe797e78874c59a178cc8bd6c8,2022-04-11,O• 2.061,08.04.–11.04.,O,2061,2022-04-08,2022-04-11,AfD,11.0
