uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
63ee99f0-3a5b-4f52-bc3c-a0a712e6553a,2013-09-19,O• 2.248,15.09.–18.09.,O,2248.0,2013-09-15,2013-09-18,CDU/CSU,38.0
1cab60da-fd54-4576-a091-35ca016a9fb2,2013-09-15,O• 2.132,??.09.–??.09.,O,2132.0,,,CDU/CSU,38.0
724db606-1713-4c82-92cf-35c94df8dfd1,2013-09-09,O• 2.132,06.09.–09.09.,O,2132.0,2013-09-06,2013-09-09,CDU/CSU,39.0
f5de1835-a74d-4bee-9234-79be8fb196a1,2013-09-02,O• 2.135,30.08.–02.09.,O,2135.0,2013-08-30,2013-09-02,CDU/CSU,39.0
1b78d765-7bb0-4daa-a960-d417e5dc6b31,2013-08-26,O• 2.128,23.08.–26.08.,O,2128.0,2013-08-23,2013-08-26,CDU/CSU,39.0
3595aaa3-c188-4cef-83a1-2a22a83494d2,2013-08-20,O• 2.122,16.08.–19.08.,O,2122.0,2013-08-16,2013-08-19,CDU/CSU,38.0
239745bc-a9b8-4076-adfe-0f9905532156,2013-08-13,O• 2.121,09.08.–12.08.,O,2121.0,2013-08-09,2013-08-12,CDU/CSU,39.0
89cc4afb-6148-4a0d-841b-5ec0c2b44000,2013-08-05,O• 2.131,02.08.–05.08.,O,2131.0,2013-08-02,2013-08-05,CDU/CSU,39.0
03b1e804-00dd-4085-86fd-5e61cc56cac9,2013-07-30,O• 2.128,26.07.–29.07.,O,2128.0,2013-07-26,2013-07-29,CDU/CSU,39.0
446462c8-081c-47f1-9a54-70a4ed264f7f,2013-07-23,O• 2.132,19.07.–22.07.,O,2132.0,2013-07-19,2013-07-22,CDU/CSU,38.0
ec9db9a8-94d4-4fcd-a2f5-757925038361,2013-07-16,O• 2.122,12.07.–15.07.,O,2122.0,2013-07-12,2013-07-15,CDU/CSU,38.0
acc55f18-523a-4838-9044-1136ee0271f0,2013-07-09,O• 2.125,05.07.–08.07.,O,2125.0,2013-07-05,2013-07-08,CDU/CSU,39.0
2220e7c6-7cdc-4134-a749-f7b54d30666a,2013-07-01,O• 2.121,28.06.–01.07.,O,2121.0,2013-06-28,2013-07-01,CDU/CSU,40.0
f44a9e19-e77f-4e48-bd9d-657f16edf962,2013-06-24,O• 2.129,21.06.–24.06.,O,2129.0,2013-06-21,2013-06-24,CDU/CSU,39.0
6761e763-a09f-467b-bf2f-6a59c4571681,2013-06-19,O• 2.317,14.06.–17.06.,O,2317.0,2013-06-14,2013-06-17,CDU/CSU,40.0
bf77c3a7-d2bb-4022-8f6a-33d4dd1878de,2013-06-11,O• 2.005,07.06.–11.06.,O,2005.0,2013-06-07,2013-06-11,CDU/CSU,39.0
13d5c72c-2230-47ae-951f-522d9c23ea1e,2013-06-04,O• 2.633,31.05.–03.06.,O,2633.0,2013-05-31,2013-06-03,CDU/CSU,39.0
48af6eb9-7322-43f3-ae37-e480bc5947a6,2013-06-01,O• 1.025,27.05.–29.05.,O,1025.0,2013-05-27,2013-05-29,CDU/CSU,39.0
56a6b0dd-c274-4c9d-b6ed-17f46b48271e,2013-05-27,O• 2.019,24.05.–27.05.,O,2019.0,2013-05-24,2013-05-27,CDU/CSU,39.0
4249fabf-aedb-4821-a1bc-f4ec995eae64,2013-05-22,O• 2.009,17.05.–20.05.,O,2009.0,2013-05-17,2013-05-20,CDU/CSU,38.0
a2114b27-562f-478e-9e98-d6527a16124e,2013-05-17,O• 1.023,14.05.–15.05.,O,1023.0,2013-05-14,2013-05-15,CDU/CSU,37.0
d0f621a2-63ec-4b21-ad0c-82f26d54cc73,2013-05-13,O• 2.015,10.05.–13.05.,O,2015.0,2013-05-10,2013-05-13,CDU/CSU,37.0
3134d489-b836-4ec6-93fa-cb099b1d8c98,2013-05-07,O• 2.044,03.05.–06.05.,O,2044.0,2013-05-03,2013-05-06,CDU/CSU,37.0
072de518-e57f-43ca-a49f-1f720aef94b6,2013-04-29,O• 2.000,26.04.–29.04.,O,2000.0,2013-04-26,2013-04-29,CDU/CSU,38.0
1a992b4c-dbce-4755-8ec2-b3f4d1442ab4,2013-04-22,O• 2.030,19.04.–22.04.,O,2030.0,2013-04-19,2013-04-22,CDU/CSU,38.0
af894250-510a-4146-bb34-eb53f0dbb18d,2013-04-21,O• 1.030,18.04.–19.04.,O,1030.0,2013-04-18,2013-04-19,CDU/CSU,39.0
2db64080-6a3a-49c0-ae4d-d498f7061af7,2013-04-16,O• 2.018,12.04.–15.04.,O,2018.0,2013-04-12,2013-04-15,CDU/CSU,39.0
e37f6acd-6a3a-4267-aaa3-036c9493dd6b,2013-04-09,O• 2.018,05.04.–08.04.,O,2018.0,2013-04-05,2013-04-08,CDU/CSU,39.0
fd6c3cd3-b494-49a6-86cc-b9a45b9ed874,2013-03-25,O• 2.006,22.03.–25.03.,O,2006.0,2013-03-22,2013-03-25,CDU/CSU,39.0
6183d7bb-6748-4e4d-b81b-c824881b2c17,2013-03-22,O• 2.011,15.03.–18.03.,O,2011.0,2013-03-15,2013-03-18,CDU/CSU,40.0
