uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
736671564ce5548fe1284cfe39d7642586955066a06152fb1488f2428df3ed1f,2026-04-01,1.316,30.03.–31.03.,,1316,2026-03-30,2026-03-31,CDU/CSU,26.0
4ebc93521b60c2a8f91681ea55ec929dab13e88d9539759a0266b9c4268a7ce2,2026-03-05,1.317,02.03.–04.03.,,1317,2026-03-02,2026-03-04,CDU/CSU,28.0
2f1d71be23b29a3c6e4631171e010d234aeb7067d47112bcdc1575189393d45a,2026-02-05,1.319,02.02.–04.02.,,1319,2026-02-02,2026-02-04,CDU/CSU,26.0
4e0bc0b215f9be5ace1d10f105394510dc79fc335335b1024a0575f474d0520f,2026-01-08,1.323,05.01.–07.01.,,1323,2026-01-05,2026-01-07,CDU/CSU,28.0
2a80d29700f0c6c5fcfb5f641fa182dfe92e6d32fcc3dd6bcb47563be9898ea3,2025-12-04,1.306,01.12.–03.12.,,1306,2025-12-01,2025-12-03,CDU/CSU,27.0
38c2687b5aedfe70908e39ca6c346546ccbfaf0637d7f65e940204915d2e15d9,2025-11-06,1.300,03.11.–05.11.,,1300,2025-11-03,2025-11-05,CDU/CSU,27.0
9e973be2ee70d6193fd413a90e3de977cca5d5f60d6943eeab78acac0997562e,2025-10-02,1.306,29.09.–01.10.,,1306,2025-09-29,2025-10-01,CDU/CSU,26.0
b1290b1692e1c586cf411043b5c202082b194abd9e6baee5536f8b2bd1dd0b62,2025-09-03,1.342,01.09.–02.09.,,1342,2025-09-01,2025-09-02,CDU/CSU,27.0
3fa253ae95fc2fb1cdc44559b122966dfdd9a75df7a549a7287a322fd7570cdd,2025-08-07,1.321,04.08.–06.08.,,1321,2025-08-04,2025-08-06,CDU/CSU,27.0
39d1f871b67e571a603492bd6483c6592aa4cb800fec9f0fed048f0bb9421846,2025-07-03,1.312,30.06.–02.07.,,1312,2025-06-30,2025-07-02,CDU/CSU,30.0
1f2c6d001c038f9b5eed1b54996333d6e7403a523df04cae8bb05bb4433c586a,2025-06-04,1.292,02.06.–03.06.,,1292,2025-06-02,2025-06-03,CDU/CSU,29.0
fe13840026d6cd199029d88df6ab34ff93a03945dfa9ffb40de7958a39757461,2025-05-07,1.325,05.05.–06.05.,,1325,2025-05-05,2025-05-06,CDU/CSU,27.0
51ae3e08fbb9d9846bba33f0919417066af26f3ef1af1c12a262af542b29f385,2025-04-03,1.334,31.03.–02.04.,,1334,2025-03-31,2025-04-02,CDU/CSU,26.0
dca5c9a56f6a52e92d323c478800def6181b93d9f11d098e36d833925b7e13f0,2025-03-06,1.325,04.03.–05.03.,,1325,2025-03-04,2025-03-05,CDU/CSU,29.0
64f620e3034274deee86efd7a86a1ae6a15ed6640a16aa42c43557a676fc6e4e,2025-02-13,1.579,10.02.–12.02.,,1579,2025-02-10,2025-02-12,CDU/CSU,32.0
431a0ac1306982da8b09ff6b29155ca9bb503d73f228f3619b044cffa0cf2fec,2025-02-06,1.302,03.02.–05.02.,,1302,2025-02-03,2025-02-05,CDU/CSU,31.0
f7052af5f98fc9a4e0b74d5285c0315b02a75c766ae39e7e0e8bfaff145a5584,2025-01-30,1.336,27.01.–29.01.,,1336,2025-01-27,2025-01-29,CDU/CSU,30.0
0039e5c4c29eed4a7391bc219824ccf26388b178f202e0588ccab88bc7dfec89,2025-01-09,1.323,06.01.–08.01.,,1323,2025-01-06,2025-01-08,CDU/CSU,31.0
c95477cd2ee52795814377abdd90909ab07b36c5e6c76021ba4043dd9a01679e,2024-12-19,1.336,16.12.–18.12.,,1336,2024-12-16,2024-12-18,CDU/CSU,33.0
604a7d2688138cdce0191134c9ad734feda17bf3bed2246585796d1240a5109d,2024-12-05,1.307,02.12.–04.12.,,1307,2024-12-02,2024-12-04,CDU/CSU,32.0
7d116fcf676636932c537281af045fa5956b1a97975e9b777d04f869c3e95459,2024-11-21,1.318,18.11.–20.11.,,1318,2024-11-18,2024-11-20,CDU/CSU,33.0
ca17f81e4cc64fcfc8e9a02466ca92fba1c6246f84611acd6de34e306a5d6abd,2024-11-07,1.065,07.11.–07.11.,,1065,2024-11-07,2024-11-07,CDU/CSU,34.0
464aa6806716c0a71bb4bdf81c502d725a7343f9f0aa4ecf49af8edb657381dd,2024-10-31,1.333,28.10.–30.10.,,1333,2024-10-28,2024-10-30,CDU/CSU,34.0
ebd18aa7ffc20cd33c8c3e1690017a294fb88acef04c5fbb237ef00e0e41fba8,2024-10-10,1.321,07.10.–09.10.,,1321,2024-10-07,2024-10-09,CDU/CSU,31.0
958caed4bee47047fa662d310d2cbb38ed2688fa37b0dc4ec7168f772608273b,2024-09-05,1.309,03.09.–04.09.,,1309,2024-09-03,2024-09-04,CDU/CSU,33.0
ae2d53be3b7b606940b62edf0ffd7fb7a20196d95206ad55fe997fe6191cbd59,2024-08-08,1.311,05.08.–07.08.,,1311,2024-08-05,2024-08-07,CDU/CSU,32.0
593abc641f9a5310f45c92e8d85c8281af4abb67b7f9ec01f48a8815886203fd,2024-07-04,1.294,01.07.–03.07.,,1294,2024-07-01,2024-07-03,CDU/CSU,31.0
937847b63bbbeccc5fc698814c9063d096ccb8a7d7d9b015449591008371d162,2024-05-30,1.479,27.05.–29.05.,,1479,2024-05-27,2024-05-29,CDU/CSU,31.0
4cb37a0914c5a3c74e697812a637a2e47ef9d980151732eaa31b301456e6a794,2024-05-02,1.280,29.04.–30.04.,,1280,2024-04-29,2024-04-30,CDU/CSU,31.0
05d5d625bc144d4f007379233fb92f58d65207cc30b2fbeb203045c942402702,2024-04-04,1.304,02.04.–03.04.,,1304,2024-04-02,2024-04-03,CDU/CSU,30.0
43d170b8938c0ea3529874a83210094488e3ecb7b711b28b39b91193a11536ad,2024-03-07,1.288,04.03.–06.03.,,1288,2024-03-04,2024-03-06,CDU/CSU,29.0
39cbba2b20fcc5fb08f49a76a38e44a63e9fed7efe9d1b604c9a91759421c19e,2024-02-01,1.303,29.01.–31.01.,,1303,2024-01-29,2024-01-31,CDU/CSU,30.0
1b634a13edce3fb3e69d1fe6536b9619f7121de96771d9368fcb5ff446e117a9,2024-01-04,1.321,02.01.–03.01.,,1321,2024-01-02,2024-01-03,CDU/CSU,31.0
6feadb21db87fe0b3ed8b702ab9f8de9311bb85437387f40d744a122ce959bb1,2023-12-21,1.210,18.12.–20.12.,,1210,2023-12-18,2023-12-20,CDU/CSU,32.0
14af1131fe36c119ee25b72bebc5c71f8e63074005e23eec88da79a22657fd30,2023-12-07,1.364,04.12.–06.12.,,1364,2023-12-04,2023-12-06,CDU/CSU,32.0
36cbf350a07804d75d4b49d51570e2c225a90e493d1eec481b020f7f5a35a069,2023-11-09,1.195,07.11.–08.11.,,1195,2023-11-07,2023-11-08,CDU/CSU,30.0
c5744ed3eb011a9f87efd5f75d6ca39f54dcf66c4afb6b87aa162e5ee40f2628,2023-11-02,1.314,30.10.–01.11.,,1314,2023-10-30,2023-11-01,CDU/CSU,30.0
b20dcb78788f3ef6442140d27174fb07a1d7e5b77eddf3a1cd3fd031d241752a,2023-10-12,1.203,10.10.–11.10.,,1203,2023-10-10,2023-10-11,CDU/CSU,29.0
