uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
ea6d7f03-8d2e-4bbe-9c4e-7bfb7a9325e0,1998-12-19,,,,,,,CDU/CSU,38.0
891d5176-ef80-4c05-ab03-63cf5fc05637,1998-12-12,,,,,,,CDU/CSU,38.0
c8b38b65-f005-4343-8770-ba29e3d51f19,1998-12-05,,,,,,,CDU/CSU,39.0
9ced9c6d-f485-4d64-b5f4-907ee84ed784,1998-11-28,,,,,,,CDU/CSU,37.0
c7e42e60-7c84-4c41-b306-1782656bd809,1998-11-21,,,,,,,CDU/CSU,37.0
013e8007-01f4-4965-b5b0-48b727e20514,1998-11-14,,,,,,,CDU/CSU,37.0
ac6761b4-cf2f-40e2-b3e0-b26560820443,1998-11-07,,,,,,,CDU/CSU,37.0
12948cde-0763-46d3-bb4f-b08493d63d44,1998-10-31,,,,,,,CDU/CSU,36.0
862db25e-4010-45dc-acfb-1a592aa25fbf,1998-10-24,,,,,,,CDU/CSU,36.0
525a248e-cb55-48ad-b6f2-615881c4e128,1998-10-17,,,,,,,CDU/CSU,36.0
c9acc9c3-9e27-44cb-be10-549ba931a949,1998-10-10,,,,,,,CDU/CSU,36.0
c97f4793-8fac-48ab-a17b-a422b80fa65c,1998-10-02,,,,,,,CDU/CSU,36.0
2571515f-7197-4a57-8410-33974d4872b3,1998-09-26,,,,,,,CDU/CSU,38.0
e67beeac-da58-4fa0-aa37-6a1183f39fb6,1998-09-19,,,,,,,CDU/CSU,38.0
ffd3e3d6-b28a-4be2-b269-725336d440b9,1998-09-12,,,,,,,CDU/CSU,37.0
b7bdc620-4bc5-4552-a729-a1a390e9e529,1998-09-05,,,,,,,CDU/CSU,37.0
54e0e314-7001-4bc7-8cfb-fac7310fa6ff,1998-08-29,,,,,,,CDU/CSU,38.0
141c8b98-0809-40bb-87a5-459a79110d20,1998-08-22,,,,,,,CDU/CSU,38.0
d75e7561-973a-444a-b886-7036d7c66e37,1998-08-15,,,,,,,CDU/CSU,37.0
d39c09b9-8e99-4539-85f6-71f4a5d9402c,1998-08-08,,,,,,,CDU/CSU,37.0
3a54fa47-fd2a-4761-a108-fcfcb76dc105,1998-08-01,,,,,,,CDU/CSU,36.0
34006d4c-69f3-4eb8-b445-181b399d0d14,1998-07-25,,,,,,,CDU/CSU,37.0
d71094ba-d27a-4f6d-b394-0fc4bf103c68,1998-07-18,,,,,,,CDU/CSU,37.0
cfdcd53c-90c1-499a-b4a3-07b3c56a5101,1998-07-11,,,,,,,CDU/CSU,36.0
67343225-24cb-474c-b366-c114c029ce36,1998-07-04,,,,,,,CDU/CSU,35.0
9d9ad58e-3b08-4cac-a607-f9c9d67c94bb,1998-06-27,,,,,,,CDU/CSU,36.0
775955f6-4287-486d-9da8-a406c6f8e2b6,1998-06-20,,,,,,,CDU/CSU,36.0
6b92779e-10d8-458f-bec9-79086b38b99e,1998-06-13,,,,,,,CDU/CSU,36.0
441ccfbb-b5ec-4626-9e0d-e972aa526016,1998-06-06,,,,,,,CDU/CSU,35.0
4ccfb59d-0c9b-440d-9ae9-744f1518d33b,1998-05-30,,,,,,,CDU/CSU,36.0
261aa544-3e5a-462d-b8b9-b3584771063d,1998-05-23,,,,,,,CDU/CSU,37.0
af5d98f6-d507-41f2-9d9c-94a99ed4da74,1998-05-16,,,,,,,CDU/CSU,35.0
59c79953-77f2-4880-bacd-075ff1fd8f5b,1998-05-09,,,,,,,CDU/CSU,34.0
b3df91a3-91a9-4629-ad82-5317dc3c5ba3,1998-05-02,,,,,,,CDU/CSU,35.0
cba99be8-454d-4c83-beed-92cd5c241ec7,1998-04-25,,,,,,,CDU/CSU,36.0
5ada9f25-b386-44c5-9aef-273187db1b91,1998-04-18,,,,,,,CDU/CSU,36.0
f12cbb48-a402-4830-a6d6-e2bf7bbcc30d,1998-04-11,,,,,,,CDU/CSU,35.0
01fb9540-a320-4216-b209-16a359cd4244,1998-04-04,,,,,,,CDU/CSU,34.0
06abf730-648d-49a7-81e5-e049c229bbdb,1999-12-24,,,,,,,CDU/CSU,43.0
e524a123-f4f9-4888-a652-9c05716bc06f,1999-12-18,,,,,,,CDU/CSU,45.0
ec960ca2-7aad-4315-be62-63c4ef11ddd6,1999-12-11,,,,,,,CDU/CSU,45.0
f5495151-3e11-4df5-ac16-02dcb56a32b6,1999-12-04,,,,,,,CDU/CSU,47.0
2a99323b-4499-483f-b732-7290e2ac7d63,1999-11-27,,,,,,,CDU/CSU,48.0
53844c90-4b4a-44e1-bfb4-84caee5af8ae,1999-11-20,,,,,,,CDU/CSU,48.0
d66c81f3-21e8-4f7b-9f9c-d270975e0c7c,1999-11-13,,,,,,,CDU/CSU,49.0
8ca876f1-f40e-4bcf-9f9e-54f72caac476,1999-11-06,,,,,,,CDU/CSU,49.0
1e81b708-cf52-4562-8aa4-234ff7ff566d,1999-10-30,,,,,,,CDU/CSU,49.0
301cd04c-19b4-46dc-9358-250367538cd7,1999-10-23,,,,,,,CDU/CSU,48.0
fc3bf888-9c56-4ef0-ae53-b5fa2c97fd73,1999-10-16,,,,,,,CDU/CSU,48.0
1a03cca5-b4d3-466b-9c31-f53d05722bf7,1999-10-09,,,,,,,CDU/CSU,48.0
3e2b5f97-2ee6-4805-bddc-f6b5684ce037,1999-10-02,,,,,,,CDU/CSU,48.0
7cf06f3d-29b1-4516-b4ca-82a649d1bbbb,1999-09-25,,,,,,,CDU/CSU,48.0
0eaf9fb5-d801-469f-b7a7-eadf1715c9aa,1999-09-18,,,,,,,CDU/CSU,47.0
d3c280aa-d830-4faa-91e7-1cae0d46ffec,1999-09-11,,,,,,,CDU/CSU,46.0
74a06635-1752-4688-8735-613eae736912,1999-09-04,,,,,,,CDU/CSU,46.0
38e67a7d-2dbe-4123-b8c8-f82805bc6447,1999-08-28,,,,,,,CDU/CSU,47.0
0770ccb5-5455-430f-a7e0-fd073d6f363c,1999-08-21,,,,,,,CDU/CSU,47.0
3b8a4b15-95f1-46ab-83f0-1eaccd57ba99,1999-08-14,,,,,,,CDU/CSU,46.0
899c565a-1549-48a7-9c96-bc180a0cb150,1999-08-07,,,,,,,CDU/CSU,46.0
af25f2eb-9efa-4c53-8e50-31d7ff07c07b,1999-07-31,,,,,,,CDU/CSU,45.0
