uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
d5dc6d08-872d-460a-91f8-6e4259fd65e3,2024-11-29,1.432,20.11.–26.11.,,1432,2024-11-20,2024-11-26,CDU/CSU,32.0
f10f07d8-1bba-4fc5-8806-089a0c220479,2024-11-01,1.443,23.10.–29.10.,,1443,2024-10-23,2024-10-29,CDU/CSU,32.0
9ee8a6d5-b3eb-4ded-b63e-272d1a5dd21a,2024-10-04,1.452,25.09.–01.10.,,1452,2024-09-25,2024-10-01,CDU/CSU,31.0
d808f7a5-752c-45ec-bc90-01f61805d2e4,2024-09-06,1.427,28.08.–03.09.,,1427,2024-08-28,2024-09-03,CDU/CSU,31.0
f3cd0801-5c6e-4da7-a20c-d6668306ee94,2024-08-09,1.449,31.07.–06.08.,,1449,2024-07-31,2024-08-06,CDU/CSU,31.0
aebd6ecc-4c4f-42e4-8079-33b654afa821,2024-07-12,1.486,03.07.–09.07.,,1486,2024-07-03,2024-07-09,CDU/CSU,31.0
87144b0e-dca3-41cd-91c1-7d54efa50b3c,2024-06-12,1.425,05.06.–11.06.,,1425,2024-06-05,2024-06-11,CDU/CSU,30.0
b36990d7-ac23-428d-8d49-aa8d8f5b6a44,2024-05-17,1.506,07.05.–14.05.,,1506,2024-05-07,2024-05-14,CDU/CSU,30.0
cb2a3813-7872-46f5-93a5-112840e6783c,2024-04-19,1.445,10.04.–16.04.,,1445,2024-04-10,2024-04-16,CDU/CSU,30.0
cc614613-dd4d-4d2b-b7d0-a84db3b81296,2024-03-22,1.480,13.03.–19.03.,,1480,2024-03-13,2024-03-19,CDU/CSU,29.0
304b0d69-94ca-4901-8c2b-0db0d05b0d02,2024-03-02,1.392,21.02.–27.02.,,1392,2024-02-21,2024-02-27,CDU/CSU,30.0
b65a88ce-534a-4d14-8cc1-023b5058d7a3,2024-02-24,1.505,14.02.–20.02.,,1505,2024-02-14,2024-02-20,CDU/CSU,29.0
5b16b659-525f-4768-86e7-49315e8ae22f,2024-01-27,1.922,16.01.–23.01.,,1922,2024-01-16,2024-01-23,CDU/CSU,29.0
79607462-af52-45e9-a26c-0ad1dd13a3e2,2024-01-20,1.359,09.01.–11.01.,,1359,2024-01-09,2024-01-11,CDU/CSU,31.0
012b670c-ee3c-4af0-941e-0d2937db07f1,2023-12-23,1.421,07.12.–13.12.,,1421,2023-12-07,2023-12-13,CDU/CSU,31.0
7ebd1a3c-178a-420d-820d-523c9fb50b7f,2023-12-16,1.515,06.12.–12.12.,,1515,2023-12-06,2023-12-12,CDU/CSU,30.0
6e1fcd73-1b9d-47e8-ae6d-1cf80dfcda7b,2023-12-09,1.402,29.11.–05.12.,,1402,2023-11-29,2023-12-05,CDU/CSU,30.0
ffd2fd4c-fe19-4088-a6d8-e6286fe96647,2023-12-02,1.806,20.11.–28.11.,,1806,2023-11-20,2023-11-28,CDU/CSU,29.0
4ce9a332-1ce2-44dd-b001-7cf66fd03a12,2023-11-25,1.452,14.11.–21.11.,,1452,2023-11-14,2023-11-21,CDU/CSU,29.0
aebfcfda-e396-4fea-8b56-76bf41a30422,2023-11-18,1.421,08.11.–14.11.,,1421,2023-11-08,2023-11-14,CDU/CSU,28.0
c50d7cd8-ccdd-4f9b-abf3-ce3f11818d93,2023-11-11,1.443,25.10.–07.11.,,1443,2023-10-25,2023-11-07,CDU/CSU,28.0
934585d5-42ad-44a6-a7ad-8e1d5cffb76c,2023-11-04,1.418,19.10.–25.10.,,1418,2023-10-19,2023-10-25,CDU/CSU,27.0
1599ab2b-3197-496e-a29f-82fef72bedde,2023-10-28,1.422,18.10.–24.10.,,1422,2023-10-18,2023-10-24,CDU/CSU,28.0
445a54d8-e09b-42a9-9436-896af7002abd,2023-10-21,1.388,11.10.–17.10.,,1388,2023-10-11,2023-10-17,CDU/CSU,31.0
09c0126c-f934-4b94-8af5-a9e24257460f,2023-10-14,1.386,27.09.–10.10.,,1386,2023-09-27,2023-10-10,CDU/CSU,27.0
843539de-2bb7-4b57-ae66-66bb25a159f6,2023-10-07,1.391,26.09.–28.09.,,1391,2023-09-26,2023-09-28,CDU/CSU,26.0
1abb8ee3-b85a-4bf9-ac86-eb596e796244,2023-09-30,1.356,20.09.–26.09.,,1356,2023-09-20,2023-09-26,CDU/CSU,27.0
14e14aa9-f516-4172-810a-8bd9810cbaf7,2023-09-23,1.370,13.09.–19.09.,,1370,2023-09-13,2023-09-19,CDU/CSU,27.0
064fc2f8-531d-4a1a-a4c4-53edd12fdd39,2023-09-16,1.442,06.09.–12.09.,,1442,2023-09-06,2023-09-12,CDU/CSU,26.0
96561bc0-ff8e-46ec-bcdf-daec37994a8c,2023-09-09,1.441,30.08.–05.09.,,1441,2023-08-30,2023-09-05,CDU/CSU,26.0
d86f537a-18ff-4027-a1e9-042f24a23dc1,2023-09-02,1.330,23.08.–29.08.,,1330,2023-08-23,2023-08-29,CDU/CSU,25.0
bef3a7be-eff4-4197-bae7-555e85ff4dd4,2023-08-26,1.435,16.08.–22.08.,,1435,2023-08-16,2023-08-22,CDU/CSU,26.0
89b7b1c9-d225-422d-bb51-8a5f2f717a17,2023-08-19,1.426,09.08.–15.08.,,1426,2023-08-09,2023-08-15,CDU/CSU,26.0
7cc575d5-5173-4a10-a7ce-6747e997ba51,2023-08-12,1.330,01.08.–08.08.,,1330,2023-08-01,2023-08-08,CDU/CSU,27.0
cf8db214-37c7-41d0-97cd-c84d9eedf2db,2023-08-05,1.310,19.07.–02.08.,,1310,2023-07-19,2023-08-02,CDU/CSU,27.0
755e16b2-037a-40ce-9d8c-1b8fd3681a56,2023-07-29,1.402,13.07.–19.07.,,1402,2023-07-13,2023-07-19,CDU/CSU,27.0
