uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
b61cfdd1-7e13-44f8-831c-b85357a7f787,1998-12-18,,,,,,,CDU/CSU,37.0
d4aaaeca-a408-4615-9f83-b2c16830191d,1998-12-11,,,,,,,CDU/CSU,37.0
6857dac1-17f7-46b6-89dd-b50dab478586,1998-12-04,,,,,,,CDU/CSU,37.0
282d693f-1e7d-4bb1-b220-cd3c8757e40e,1998-11-27,,,,,,,CDU/CSU,36.0
4558420e-2532-492f-a8b4-2b3e3b757e3e,1998-11-20,,,,,,,CDU/CSU,37.0
881d60d8-f950-46f2-8f6d-54c04e423eb8,1998-11-13,,,,,,,CDU/CSU,35.0
e0815058-6e1b-4613-92f4-62e3839da86c,1998-11-06,,,,,,,CDU/CSU,36.0
73718cb8-4138-409e-84e4-1110fe8976a7,1998-10-30,,,,,,,CDU/CSU,37.0
952910d5-7a3e-4a5a-ad4b-cbcff4aed9cf,1998-10-23,,,,,,,CDU/CSU,35.0
609af1bd-a87c-4686-b036-e7e99dbe4c44,1998-10-16,,,,,,,CDU/CSU,35.0
0c4ab0f6-8586-4d97-82bb-4fc23be8897e,1998-10-09,,,,,,,CDU/CSU,35.0
30caa422-a231-4612-ad0b-6aac76b36fd9,1998-09-25,,,,,,,CDU/CSU,39.0
247afb33-dc63-4ea7-b42b-b24559906710,1998-09-18,,,,,,,CDU/CSU,39.0
b6637ff9-0353-4801-9d95-ea37e7b4a853,1998-09-11,,,,,,,CDU/CSU,38.0
dd9dea3b-cfeb-4e66-86c2-eaedb429e0ef,1998-09-04,,,,,,,CDU/CSU,37.0
54f321b0-8885-4c7c-8496-6c81bdd2a3a0,1998-08-28,,,,,,,CDU/CSU,38.0
c00cf605-73a8-4054-87bd-66ccffb6bb88,1998-08-21,,,,,,,CDU/CSU,39.0
3a2b020a-8de0-40a2-b677-d40d901a03f4,1998-08-14,,,,,,,CDU/CSU,38.0
cb1806b1-ade6-46f5-b626-2c53538aadf3,1998-08-07,,,,,,,CDU/CSU,38.0
225272f7-449d-49ee-8b9c-016509b80e14,1998-07-31,,,,,,,CDU/CSU,37.0
412fc259-56f2-4176-9a6d-7eaa846b1fe6,1998-07-24,,,,,,,CDU/CSU,37.0
f37a4493-283c-4177-8877-760ebcca7dd8,1998-07-17,,,,,,,CDU/CSU,37.0
48fc21fe-2f28-41b9-b365-4a016a700155,1998-07-10,,,,,,,CDU/CSU,37.0
b6333e3c-cc61-4f4e-a222-d5cec0956dc8,1998-07-03,,,,,,,CDU/CSU,37.0
a90277a4-89ae-445c-b486-5e833ce7fe57,1998-06-26,,,,,,,CDU/CSU,37.0
33c17435-bde6-46ce-9309-492281e3503f,1998-06-19,,,,,,,CDU/CSU,37.0
d7c158ee-cfc7-48d5-ba46-d7243b9aaf1a,1998-06-12,,,,,,,CDU/CSU,36.0
19fbdaa0-59a7-4465-bfb2-37521e074c87,1998-06-05,,,,,,,CDU/CSU,37.0
34cd2b3a-6fca-45f4-a526-d037bfb0e5ce,1998-05-29,,,,,,,CDU/CSU,37.0
8b9e09ce-9900-4880-b58c-929a6c749405,1998-05-22,,,,,,,CDU/CSU,37.0
8350f1ca-8013-42be-91ce-6f654d0348ac,1998-05-15,,,,,,,CDU/CSU,35.0
f58da31b-5c51-4f7c-8730-ff8a90099f03,1998-05-08,,,,,,,CDU/CSU,35.0
75fd4cd2-b767-4631-bcd4-1c9236683999,1998-05-01,,,,,,,CDU/CSU,35.0
7a3b78e2-b89d-4e96-95c7-709bc4bcd618,1998-04-24,,,,,,,CDU/CSU,35.0
