uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
8ee0c479030bfb6b80ccb29a2fd79a00a107999e0b146e50a848e41fa881e004,2026-03-12,1.471,04.03.–10.03.,,1471,2026-03-04,2026-03-10,CDU/CSU,26.0
d49dd01f2410cf21b561aa1a513e2fcf6a6e58743cf2789881b9da94912c1ae9,2026-02-11,1.472,04.02.–10.02.,,1472,2026-02-04,2026-02-10,CDU/CSU,25.0
8899346db3a317b34ee51c7e0b723d75ad795bd1a1785dc94e120baa0677d7ec,2026-01-16,1.455,07.01.–13.01.,,1455,2026-01-07,2026-01-13,CDU/CSU,26.0
a5fc9828984802731dfdeab80b493ef2bb449a9dc4b0662a4eb244279b406ff5,2025-12-10,1.443,03.12.–09.12.,,1443,2025-12-03,2025-12-09,CDU/CSU,25.0
96955a3b8020a5cd2614210799f610f0e1822e981099f1346b252b7ef21868fe,2025-11-07,1.471,28.10.–04.11.,,1471,2025-10-28,2025-11-04,CDU/CSU,26.0
69d5c5fb908e40d8ae79e43f7597ace4779fc43a17b1894c3e4e7befb69211f3,2025-10-10,1.478,30.09.–07.10.,,1478,2025-09-30,2025-10-07,CDU/CSU,25.0
92bb167e629d24ffdac4d2fce0baadd1d08bb6422bf1a87c834210e6dbfcb8bb,2025-09-10,1.460,03.09.–09.09.,,1460,2025-09-03,2025-09-09,CDU/CSU,26.0
1b3baca2214a3dd2b238c1e789a3ad7092a6d5557b3358e7245f1b6786862c86,2025-08-15,1.464,06.08.–12.08.,,1464,2025-08-06,2025-08-12,CDU/CSU,26.0
038ebdd17e09a1b224605cfe2507db1c2d3c4bb54d1e46c90d0ec61a4d54ccea,2025-08-01,1.473,23.07.–29.07.,,1473,2025-07-23,2025-07-29,CDU/CSU,27.0
7a0336e87ab79f7f809cfbff0f777d8eb7a135c6fa5957bf9b9a470a5b1d7029,2025-06-19,1.462,11.06.–17.06.,,1462,2025-06-11,2025-06-17,CDU/CSU,28.0
85b991e82cdc04d136697b29ad2c23cbf448f1ecfcec7160ef6a217b0f27f0a1,2025-05-21,1.468,14.05.–20.05.,,1468,2025-05-14,2025-05-20,CDU/CSU,26.0
cef1e04fb5bb4a2b7f5f93590b0b38851bba1bf3c0f8746a918d00df7d70c099,2025-04-25,1.469,15.04.–22.04.,,1469,2025-04-15,2025-04-22,CDU/CSU,26.0
d64e9e7f96ebb9fa129ee3aa9968746c32786ad5cbd7aa7c1cf83b92c4c7a962,2025-03-28,1.381,19.03.–25.03.,,1381,2025-03-19,2025-03-25,CDU/CSU,27.0
eb05961426c934e1397bda8f3180791af71fad426dcf089e50d650fbf8d11741,2025-01-31,1.461,22.01.–28.01.,,1461,2025-01-22,2025-01-28,CDU/CSU,30.0
76db1a8623df865f4a017b9c4cb38094b18d14056656cfbfd20e1c951b2f7579,2024-12-20,1.452,11.12.–17.12.,,1452,2024-12-11,2024-12-17,CDU/CSU,31.0
70eb98bad0880030ca991cef0ea6b2a2450be4d7bf585288bcc90391df16bd58,2024-11-29,1.432,20.11.–26.11.,,1432,2024-11-20,2024-11-26,CDU/CSU,32.0
c1481cf66673cb6b198af94a9c42ad8bd4a2e14a5a4ca6adf51b34ced414d47d,2024-11-01,1.443,23.10.–29.10.,,1443,2024-10-23,2024-10-29,CDU/CSU,32.0
779858ead42ddcce67f0ffb92766fb4cd4e2019867fe99b1e934e7757e92cf0f,2024-10-04,1.452,25.09.–01.10.,,1452,2024-09-25,2024-10-01,CDU/CSU,31.0
5909bc279f93edb691c527a98e77f55aa988f3e4de95a4275e763d36b9ab0fca,2024-09-06,1.427,28.08.–03.09.,,1427,2024-08-28,2024-09-03,CDU/CSU,31.0
c438f10b6a6ddb139a483b18a5eb83123731b96bcc95b3be42ec866d946f772d,2024-08-09,1.449,31.07.–06.08.,,1449,2024-07-31,2024-08-06,CDU/CSU,31.0
9dea098fe9b1a7f9001b5e54b93b66430a2516b013bcdfecfef97c813db83d38,2024-07-12,1.486,03.07.–09.07.,,1486,2024-07-03,2024-07-09,CDU/CSU,31.0
50798ee69c347330cef920e85f38fce5513f186b857dc64cf8f1909d0dbee06e,2024-06-12,1.425,05.06.–11.06.,,1425,2024-06-05,2024-06-11,CDU/CSU,30.0
b26c9a9836096457fad7567ce158d2a29c9af79e21c9a9e1df8eab792a695c45,2024-05-17,1.506,07.05.–14.05.,,1506,2024-05-07,2024-05-14,CDU/CSU,30.0
a111f4dcf5cd43217fea41283e4d7bd76e9e7451245331136f07004f510c704d,2024-04-19,1.445,10.04.–16.04.,,1445,2024-04-10,2024-04-16,CDU/CSU,30.0
f662eef6101ae4907b9774ddfac6d1f7f3efa99caed23a195381515abcddabe6,2024-03-22,1.480,13.03.–19.03.,,1480,2024-03-13,2024-03-19,CDU/CSU,29.0
